cluster_id,cluster_size,sample_count,sample_files
2,2378,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
1,2359,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
9,431,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
62,431,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
60,397,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
3,332,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
5,212,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
97,169,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
90,163,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
51,162,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
18,143,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
39,127,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
6,115,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
53,106,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
31,104,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
8,91,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
92,91,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
21,82,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
99,80,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
32,78,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
143,67,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
7,65,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
80,60,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
93,59,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
102,59,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
136,59,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
46,58,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
27,56,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
98,54,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
131,54,5,01.jpg | 02.jpg | 03.jpg | 04.jpg | 05.jpg
